study_m,Month,obd,phase,int_carb_asp,int_targ_screen,int_screen_all,int_hand,int_asp,bedocc,hh_adherence,hh_trained,abhr,rectalswab,carbapenem,fq,3gc,pseudo_3gcq,all_monitored,gmneg_all_bsi,ecoliccs_all_bsi,ecoli3gcr_all_bsi,cre_all_bsi,mssa_all_bsi,mrsa_all_bsi,csab_all_any,crab_all_any,cskp_all_any,crkp_all_any,cspa_all_any,crpa_all_any,csab_all_clinical,crab_all_clinical,cskp_all_clinical,crkp_all_clinical,cspa_all_clinical,crpa_all_clinical,csab_all_bsi,crab_all_bsi,cskp_all_bsi,crkp_all_bsi,cspa_all_bsi,crpa_all_bsi,csab_all_resp,crab_all_resp,cskp_all_resp,crkp_all_resp,cspa_all_resp,crpa_all_resp,csab_all_uti,crab_all_uti,cskp_all_uti,crkp_all_uti,cspa_all_uti,crpa_all_uti,csab_all_other,crab_all_other,cskp_all_other,crkp_all_other,cspa_all_other,crpa_all_other,csab_all_swab,crab_all_swab,cskp_all_swab,crkp_all_swab,cspa_all_swab,crpa_all_swab,csab_all_admswab,crab_all_admswab,cskp_all_admswab,crkp_all_admswab,cspa_all_admswab,crpa_all_admswab,csab_ho_any,crab_ho_any,cskp_ho_any,crkp_ho_any,cspa_ho_any,crpa_ho_any,csab_ho_clinical,crab_ho_clinical,cskp_ho_clinical,crkp_ho_clinical,cspa_ho_clinical,crpa_ho_clinical,csab_ho_bsi,crab_ho_bsi,cskp_ho_bsi,crkp_ho_bsi,cspa_ho_bsi,crpa_ho_bsi,csab_ho_resp,crab_ho_resp,cskp_ho_resp,crkp_ho_resp,cspa_ho_resp,crpa_ho_resp,csab_ho_uti,crab_ho_uti,cskp_ho_uti,crkp_ho_uti,cspa_ho_uti,crpa_ho_uti,csab_ho_other,crab_ho_other,cskp_ho_other,crkp_ho_other,cspa_ho_other,crpa_ho_other,csab_ho_swab,crab_ho_swab,cskp_ho_swab,crkp_ho_swab,cspa_ho_swab,crpa_ho_swab,csab_conothca_any,crab_conothca_any,cskp_conothca_any,crkp_conothca_any,cspa_conothca_any,crpa_conothca_any,csab_conothca_clinical,crab_conothca_clinical,cskp_conothca_clinical,crkp_conothca_clinical,cspa_conothca_clinical,crpa_conothca_clinical,csab_conothca_bsi,crab_conothca_bsi,cskp_conothca_bsi,crkp_conothca_bsi,cspa_conothca_bsi,crpa_conothca_bsi,csab_conothca_resp,crab_conothca_resp,cskp_conothca_resp,crkp_conothca_resp,cspa_conothca_resp,crpa_conothca_resp,csab_conothca_uti,crab_conothca_uti,cskp_conothca_uti,crkp_conothca_uti,cspa_conothca_uti,crpa_conothca_uti,csab_conothca_other,crab_conothca_other,cskp_conothca_other,crkp_conothca_other,cspa_conothca_other,crpa_conothca_other,csab_conothca_swab,crab_conothca_swab,cskp_conothca_swab,crkp_conothca_swab,cspa_conothca_swab,crpa_conothca_swab,csab_hca_all,crab_hca_all,cskp_hca_all,crkp_hca_all,cspa_hca_all,crpa_hca_all,csab_hca_clinical,crab_hca_clinical,cskp_hca_clinical,crkp_hca_clinical,cspa_hca_clinical,crpa_hca_clinical,csab_hca_bsi,crab_hca_bsi,cskp_hca_bsi,crkp_hca_bsi,cspa_hca_bsi,crpa_hca_bsi,csab_hca_resp,crab_hca_resp,cskp_hca_resp,crkp_hca_resp,cspa_hca_resp,crpa_hca_resp,csab_hca_uti,crab_hca_uti,cskp_hca_uti,crkp_hca_uti,cspa_hca_uti,crpa_hca_uti,csab_hca_other,crab_hca_other,cskp_hca_other,crkp_hca_other,cspa_hca_other,crpa_hca_other,csab_hca_swab,crab_hca_swab,cskp_hca_swab,crkp_hca_swab,cspa_hca_swab,crpa_hca_swab,csab_cohca_any,crab_cohca_any,cskp_cohca_any,crkp_cohca_any,cspa_cohca_any,crpa_cohca_any,csab_cohca_clinical,crab_cohca_clinical,cskp_cohca_clinical,crkp_cohca_clinical,cspa_cohca_clinical,crpa_cohca_clinical,csab_cohca_bsi,crab_cohca_bsi,cskp_cohca_bsi,crkp_cohca_bsi,cspa_cohca_bsi,crpa_cohca_bsi,csab_cohca_resp,crab_cohca_resp,cskp_cohca_resp,crkp_cohca_resp,cspa_cohca_resp,crpa_cohca_resp,csab_cohca_uti,crab_cohca_uti,cskp_cohca_uti,crkp_cohca_uti,cspa_cohca_uti,crpa_cohca_uti,csab_cohca_other,crab_cohca_other,cskp_cohca_other,crkp_cohca_other,cspa_cohca_other,crpa_cohca_other,csab_cohca_swab,crab_cohca_swab,cskp_cohca_swab,crkp_cohca_swab,cspa_cohca_swab,crpa_cohca_swab
41,01/05/2011,18962,1,F,F,F,F,F,83,NA,NA,229,0,41.19,167.76,78.89,10.86,768.95,26.99999999,14,7,0,6,1,0,11,19,4,44,5,0,11,16,4,37,4,0,2,4,0,4,0,0,5,1,1,15,4,0,2,9,3,8,0,0,2,2,0,10,0,0,0,3,0,7,1,0,0,0,0,5,0,0,10,12,1,23,2,0,10,9,1,21,1,0,2,1,0,0,0,0,4,0,1,11,1,0,2,7,0,3,0,0,2,1,0,7,0,0,0,3,0,2,1,0,0,5,3,13,0,0,0,5,3,9,0,0,0,2,0,2,0,0,0,1,0,1,0,0,0,1,3,4,0,0,0,1,0,2,0,0,0,0,0,4,0,0,11,14,1,31,5,0,11,11,1,28,4,0,2,2,0,2,0,0,5,0,1,14,4,0,2,8,0,4,0,0,2,1,0,8,0,0,0,3,0,3,1,0,1,2,0,8,3,0,1,2,0,7,3,0,0,1,0,2,0,0,1,0,0,3,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
42,01/06/2011,18188,1,F,F,F,F,F,83.5,NA,NA,223,0,44.48,163.07,78.90,19.68,768.22,34,13,3,0,3,1,1,6,26,3,25,7,1,5,24,3,25,7,1,1,3,0,1,2,0,2,3,0,6,2,0,0,12,2,10,2,0,2,6,1,8,1,0,1,2,0,0,0,0,0,0,0,0,0,0,6,16,1,14,5,0,5,14,1,14,5,0,1,2,0,0,2,0,2,2,0,4,1,0,0,7,0,7,2,0,2,3,1,3,0,0,1,2,0,0,0,1,0,7,1,6,0,1,0,7,1,6,0,1,0,1,0,0,0,0,0,1,0,2,0,0,0,2,1,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0,6,19,2,19,7,0,5,17,2,19,7,0,1,2,0,1,2,0,2,2,0,4,2,0,0,10,1,9,2,0,2,3,1,5,1,0,1,2,0,0,0,0,0,3,1,5,2,0,0,3,1,5,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,1,2,0,0,0,0,0,2,1,0,0,0,0,0,0
43,01/07/2011,16985,1,F,F,F,F,F,84.7,NA,NA,149,0,43.39,164.26,79.78,18.66,770.13,39,9,2,0,3,1,0,12,27,15,36,14,0,10,26,11,35,13,0,2,2,1,3,2,0,5,5,1,9,2,0,2,15,9,8,6,0,1,4,0,15,3,0,2,1,4,1,1,0,0,0,0,1,1,0,6,15,13,21,10,0,4,14,9,21,10,0,2,1,1,1,2,0,1,4,1,7,2,0,0,7,7,5,5,0,1,2,0,8,1,0,2,1,4,0,0,0,4,5,1,9,1,0,4,5,1,8,1,0,0,0,0,2,0,0,3,1,0,2,0,0,1,3,1,0,0,0,0,1,0,4,1,0,0,0,0,1,0,0,8,22,14,27,13,0,6,21,10,27,12,0,2,2,1,1,2,0,2,4,1,7,2,0,1,12,8,8,6,0,1,3,0,11,2,0,2,1,4,0,1,0,2,7,1,6,3,0,2,7,1,6,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,5,1,3,1,0,0,1,0,3,1,0,0,0,0,0,1
44,01/08/2011,14220,1,F,F,F,F,F,84,NA,NA,151,0,48.87,170.04,77.78,18.78,768.97,30.99999999,8,5,0,4,1,2,14,27,17,30,15,2,11,23,11,29,11,0,0,2,2,2,2,0,8,4,0,6,2,1,1,12,5,9,6,1,2,5,4,12,1,0,3,4,6,1,4,0,1,2,0,1,0,2,11,18,14,22,10,2,9,16,8,22,6,0,0,2,2,2,0,0,7,4,0,3,2,1,0,7,3,7,3,1,2,3,3,10,1,0,2,2,6,0,4,0,2,1,1,3,2,0,1,1,1,2,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0,1,1,0,0,1,0,0,1,0,2,12,26,16,27,13,2,10,22,10,27,9,0,0,2,2,2,2,0,7,4,0,5,2,1,1,11,5,9,4,1,2,5,3,11,1,0,2,4,6,0,4,0,1,8,2,5,3,0,1,6,2,5,3,0,0,0,0,0,2,0,0,0,0,2,0,0,1,4,2,2,1,0,0,2,0,1,0,0,0,2,0,0,0
45,01/09/2011,16120,1,F,F,F,F,F,86.2,NA,NA,216,180,45.60,187.59,73.14,18.86,756.71,28,12,5,0,5,2,1,12,41,18,28,16,0,10,37,11,25,13,0,1,9,1,1,1,0,5,4,1,7,3,0,4,16,8,6,9,0,0,8,1,11,0,1,2,4,7,3,3,0,0,1,0,0,1,1,11,23,16,17,11,0,9,20,9,14,9,0,1,3,1,0,1,0,5,2,1,5,2,0,3,12,6,4,6,0,0,3,1,5,0,1,2,3,7,3,2,0,0,13,1,7,0,0,0,13,1,7,0,0,0,4,0,0,0,0,0,1,0,2,0,0,0,3,1,1,0,0,0,5,0,4,0,0,0,0,0,0,0,1,12,28,17,21,16,0,10,24,10,18,13,0,1,5,1,1,1,0,5,3,1,5,3,0,4,13,7,5,9,0,0,3,1,7,0,1,2,4,7,3,3,0,1,5,1,4,5,0,1,4,1,4,4,0,0,2,0,1,0,0,0,1,0,0,1,0,1,1,1,1,3,0,0,0,0,2,0,0,0,1,0,0,1
46,01/10/2011,18317,1,F,F,F,F,F,88.3,NA,NA,206,200,49.79,178.85,70.37,19.76,788.93,30.99999999,10,3,0,4,2,8,10,26,12,35,10,6,9,25,7,34,9,1,2,3,2,0,0,0,2,6,1,9,3,1,4,9,3,8,3,4,1,7,1,17,3,2,1,1,5,1,1,0,0,1,0,0,1,7,8,14,11,19,4,5,7,14,6,18,4,1,2,2,1,0,0,0,2,3,1,5,1,0,2,5,3,4,2,4,1,4,1,9,1,2,1,0,5,1,0,0,0,6,0,11,1,0,0,5,0,11,1,0,0,0,0,0,0,0,0,1,0,3,1,0,0,1,0,3,0,0,0,3,0,5,0,0,0,1,0,0,0,8,10,20,12,24,9,6,9,20,7,23,8,1,2,3,2,0,0,0,2,5,1,6,2,1,4,8,3,5,3,4,1,4,1,12,3,2,1,0,5,1,1,1,2,6,1,5,5,1,2,6,1,5,4,0,0,1,1,0,0,0,0,2,0,1,1,1,2,3,0,1,1,0,0,0,0,3,2,0,0,0,0,0,1
47,01/11/2011,18637,1,F,F,F,F,F,89.7,NA,3.33,195,180,50.06,180.29,68.90,20.07,800.09,35,8,2,0,6,1,1,9,23,22,24,10,1,8,22,13,23,7,0,2,3,1,0,0,0,5,5,0,9,0,0,0,10,11,7,1,1,1,4,1,7,6,0,1,1,9,1,3,0,0,0,3,0,0,1,7,11,14,16,9,1,6,10,8,15,6,0,2,0,0,0,0,0,3,3,0,7,0,0,0,4,8,4,0,1,1,3,0,4,6,0,1,1,6,1,3,0,1,6,4,6,0,0,1,6,2,6,0,0,0,2,1,0,0,0,1,1,0,2,0,0,0,3,1,2,0,0,0,0,0,2,0,0,0,0,2,0,0,1,8,17,18,18,10,1,7,16,11,17,7,0,2,1,0,0,0,0,4,4,0,7,0,0,0,7,10,5,1,1,1,4,1,5,6,0,1,1,7,1,3,0,1,6,4,2,1,0,1,6,3,2,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,2,1,1,0,0,1,1,1,0,0,0,0,1,0,0
48,01/12/2011,19143,1,F,F,F,F,F,90.2,NA,3.33,226,190,43.78,187.95,64.46,20.06,759.54,29,5,2,0,9,0,0,6,25,7,21,15,0,2,22,2,19,11,0,0,0,1,1,1,0,1,6,0,5,3,0,0,12,1,7,6,0,1,4,0,6,1,0,4,3,5,2,4,0,0,2,0,1,0,0,5,10,7,15,12,0,1,9,2,14,8,0,0,0,1,0,0,0,0,1,0,5,3,0,0,5,1,5,4,0,1,3,0,4,1,0,4,1,5,1,4,0,1,8,0,6,0,0,1,8,0,5,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,3,0,2,0,0,0,1,0,2,0,0,0,0,0,1,0,0,5,17,7,15,15,0,1,14,2,14,11,0,0,0,1,0,1,0,0,2,0,5,3,0,0,9,1,5,6,0,1,3,0,4,1,0,4,3,5,1,4,0,0,7,0,0,3,0,0,5,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0
49,01/01/2012,16043,1,F,F,F,F,F,98.3,NA,3.33,141,200,54.48,197.47,69.69,18.26,835.41,26.99999999,6,2,0,5,4,1,12,25,19,23,17,1,7,25,10,20,11,0,0,1,2,1,2,0,4,4,3,3,4,0,1,16,5,5,5,1,2,4,0,11,0,0,5,0,9,3,6,0,2,0,1,0,1,1,8,12,13,16,12,1,5,12,5,13,7,0,0,1,1,1,0,0,3,2,3,2,3,0,0,7,1,3,4,1,2,2,0,7,0,0,3,0,8,3,5,0,1,7,1,5,2,0,1,7,1,5,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,6,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,1,11,18,18,18,15,1,6,18,9,15,10,0,0,1,1,1,1,0,3,3,3,3,4,0,1,10,5,3,5,1,2,4,0,8,0,0,5,0,9,3,5,0,3,6,5,2,3,0,1,6,4,2,3,0,0,0,0,0,1,0,0,1,0,1,1,0,1,3,4,0,1,0,0,2,0,1,0,0,2,0,1,0,0
50,01/02/2012,18669,1,F,F,F,F,F,96.7,NA,3.33,163,230,45.48,194.76,70.76,31.50,840.42,20.00000001,7,2,0,3,0,0,15,16,14,28,10,0,10,13,5,27,7,0,1,1,0,1,0,0,5,3,1,6,3,0,3,7,4,11,2,0,1,2,0,9,2,0,5,3,9,1,3,0,0,2,0,1,1,0,15,7,12,21,7,0,10,6,3,21,5,0,1,0,0,1,0,0,5,3,0,6,2,0,3,2,3,8,1,0,1,1,0,6,2,0,5,1,9,0,2,0,0,4,1,5,1,0,0,3,1,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,2,0,0,0,1,0,0,1,0,15,12,13,23,9,0,10,10,4,22,7,0,1,0,0,1,0,0,5,3,0,6,3,0,3,5,4,8,2,0,1,2,0,7,2,0,5,2,9,1,2,0,0,5,1,2,2,0,0,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0
51,01/03/2012,18926,1,F,F,F,F,F,95.6,NA,3.33,219,265,57.96,146.10,82.58,29.06,797.80,27.99999999,8,5,0,8,0,1,13,18,29,31,14,0,9,15,12,27,10,0,4,3,2,1,0,0,3,4,2,8,5,0,1,4,6,13,4,0,1,4,2,5,1,1,4,3,17,4,4,0,1,0,2,0,0,1,10,12,22,24,8,0,7,9,7,20,4,0,4,1,1,1,0,0,2,3,2,5,2,0,0,1,3,9,2,0,1,4,1,5,0,1,3,3,15,4,4,0,1,3,2,3,2,0,1,3,2,3,2,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,12,15,27,28,12,0,8,12,10,24,8,0,4,2,2,1,0,0,2,3,2,7,5,0,1,3,5,11,2,0,1,4,1,5,1,1,4,3,17,4,4,0,2,3,5,4,4,0,1,3,3,4,4,0,0,1,1,0,0,0,0,0,0,2,3,0,1,2,2,2,0,0,0,0,0,0,1,0,1,0,2,0,0
52,01/04/2012,17811,1,F,F,F,F,F,91.6,NA,3.33,213,300,52.78,170.46,82.59,26.16,872.37,18,11,2,0,2,3,1,17,20,27,21,17,1,15,19,15,19,9,0,3,3,6,0,1,0,5,3,5,9,2,0,3,9,2,6,1,1,4,4,2,4,5,0,2,1,12,2,8,0,0,0,1,0,2,1,13,11,24,17,13,1,11,10,13,15,7,0,3,1,6,0,1,0,4,2,5,7,1,0,1,4,0,5,1,1,3,3,2,3,4,0,2,1,11,2,6,0,2,4,1,2,2,0,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,1,1,0,1,0,0,0,0,1,0,2,1,15,16,26,19,15,1,13,15,15,17,9,0,3,3,6,0,1,0,5,3,5,8,2,0,2,6,2,6,1,1,3,3,2,3,5,0,2,1,11,2,6,0,2,5,2,2,2,0,2,5,2,2,2,0,0,2,0,0,0,0,1,1,0,1,1,0,1,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
53,01/05/2012,19562,1,F,F,F,F,F,90.8,NA,3.33,226.5,203,61.96,157.96,66.46,29.65,802.62,34.00000001,10,6,0,4,2,0,9,29,32,18,14,0,8,25,15,15,9,0,0,3,3,3,2,0,5,3,3,4,3,0,2,15,5,5,2,0,1,4,4,3,2,0,1,4,17,3,5,0,1,0,3,1,0,0,6,17,24,12,14,0,6,13,10,10,9,0,0,2,2,2,2,0,5,3,2,4,3,0,0,7,2,3,2,0,1,1,4,1,2,0,0,4,14,2,5,0,1,8,2,4,0,0,0,8,2,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,2,0,2,0,0,1,0,0,0,0,0,8,21,30,14,14,0,8,17,13,11,9,0,0,2,3,2,2,0,5,3,3,4,3,0,2,10,3,4,2,0,1,2,4,1,2,0,0,4,17,3,5,0,2,4,6,2,0,0,2,4,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,3,1,1,0,0,0,1,0,0,0,0,0,0,3,1,0
54,01/06/2012,15413,1,F,F,F,F,F,86.5,NA,3.33,153.5,300,69.94,189.19,83.44,32.05,884.91,40,2,2,0,3,0,0,12,24,14,17,12,0,8,21,6,15,8,0,3,3,0,1,0,0,2,5,1,2,5,0,2,7,5,8,2,0,1,6,0,4,1,0,4,3,8,2,4,0,1,3,1,1,0,0,7,8,9,10,9,0,4,8,2,9,5,0,2,1,0,1,0,0,1,3,1,2,4,0,0,1,1,4,1,0,1,3,0,2,0,0,3,0,7,1,4,0,3,7,2,5,0,0,2,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,2,0,0,0,1,0,2,0,0,1,1,0,1,0,0,9,17,12,12,12,0,6,15,4,11,8,0,3,3,0,1,0,0,2,5,1,2,5,0,0,2,3,6,2,0,1,5,0,2,1,0,3,2,8,1,4,0,2,9,3,2,3,0,2,7,2,2,3,0,1,2,0,0,0,0,1,2,0,0,1,0,0,1,2,2,1,0,0,2,0,0,1,0,0,2,1,0,0
55,01/07/2012,14254,1,F,F,F,F,F,93.9,NA,3.33,200.5,203,70.65,187.74,76.68,35.15,795.14,30.99999999,11,5,0,4,3,3,14,27,20,18,15,2,10,22,10,17,8,1,2,3,1,2,1,0,6,3,1,5,0,0,1,7,8,4,2,1,1,9,0,6,5,1,4,5,10,1,7,1,2,3,3,0,2,2,12,15,15,14,13,2,10,13,8,13,8,1,2,1,1,2,1,0,6,3,1,4,0,0,1,2,6,2,2,1,1,7,0,5,5,0,2,2,7,1,5,1,2,9,2,3,1,0,0,7,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,1,2,0,0,0,2,0,0,0,1,2,2,1,0,1,2,12,18,18,15,14,2,10,15,9,14,8,1,2,2,1,2,1,0,6,3,1,4,0,0,1,3,7,2,2,1,1,7,0,6,5,0,2,3,9,1,6,0,0,3,3,1,1,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,2,0,1
56,01/08/2012,13589,1,F,F,F,F,F,85.1,NA,3.33,145.5,200,81.10,174.41,88.75,28.85,1066.81,17,5,2,0,1,2,0,7,30,20,29,12,0,5,29,8,27,4,0,0,5,1,1,1,0,2,6,0,10,1,0,2,12,6,8,2,0,1,6,1,8,0,0,2,1,12,2,8,0,2,1,4,2,2,0,4,18,12,15,9,0,4,18,4,15,3,0,0,2,0,0,1,0,1,4,0,7,1,0,2,6,3,5,1,0,1,6,1,3,0,0,0,0,8,0,6,0,0,7,4,9,2,0,0,7,2,8,0,0,0,2,0,0,0,0,0,2,0,3,0,0,0,3,2,1,0,0,0,0,0,4,0,0,0,0,2,1,2,0,7,23,16,20,10,0,5,22,6,19,4,0,0,3,1,1,1,0,2,4,0,7,1,0,2,9,4,7,2,0,1,6,1,4,0,0,2,1,10,1,6,0,3,5,4,5,1,0,1,4,2,4,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,3,1,2,1,0,0,0,0,1,0,0,2,1,2,1,0
57,01/09/2012,13571,2,F,T,F,T,F,94.4,NA,3.33,197,250,59.24,155.55,91.08,25.57,833.96,36,12,6,0,3,2,1,6,36,12,24,21,1,0,32,4,21,9,0,0,2,1,2,3,0,0,4,0,3,2,0,0,16,2,9,3,1,0,10,1,7,1,0,6,4,8,3,12,0,2,2,2,2,3,1,4,21,9,12,17,1,0,19,3,11,8,0,0,2,1,2,3,0,0,4,0,2,2,0,0,8,1,4,3,1,0,5,1,3,0,0,4,2,6,1,9,0,0,8,0,9,3,0,0,7,0,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,0,0,0,4,0,3,1,0,0,1,0,2,2,1,6,28,12,15,18,1,0,25,4,14,8,0,0,2,1,2,3,0,0,4,0,2,2,0,0,13,2,6,3,1,0,6,1,4,0,0,6,3,8,1,10,0,2,7,3,3,1,0,0,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,0,0,1,0,1,0,0,2,1,2,0,1
58,01/10/2012,15362,2,F,T,F,T,F,93.1,NA,3.33,234.5,260,71.15,155.38,104.09,27.34,907.13,25.00000001,9,3,0,2,4,3,12,51,34,37,25,1,6,45,8,31,9,0,1,8,2,3,0,0,2,8,3,11,3,0,2,16,3,7,2,1,1,13,0,10,4,2,6,6,26,6,,0,2,3,11,2,11,2,9,34,20,23,33,0,5,31,5,19,8,0,1,4,2,2,0,0,1,6,2,5,3,0,2,11,1,5,2,0,1,10,0,7,3,2,4,3,15,4,25,0,1,8,5,8,3,0,0,6,0,7,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,4,0,2,0,0,0,0,0,3,0,0,1,2,5,1,3,3,11,43,29,29,42,1,6,39,8,24,9,0,1,7,2,3,0,0,2,7,3,9,3,0,2,12,3,5,2,1,1,13,0,7,4,2,5,4,21,5,33,1,2,9,9,6,9,1,1,8,3,5,1,0,0,3,0,1,0,0,1,1,1,4,0,0,0,1,2,0,0,1,0,3,0,0,1,0,1,1,6,1,8
59,01/11/2012,14764,2,F,T,F,T,F,96.5,0.3,9.08,179,600,70.85,200.56,83.24,20.46,845.07,33.00000001,9,1,0,4,3,1,8,40,12,31,21,0,4,29,5,26,9,0,0,4,3,2,1,0,2,3,0,5,5,0,1,13,0,8,2,0,1,9,2,11,1,1,4,11,7,5,12,0,1,6,3,2,4,1,5,20,8,20,15,0,2,15,4,17,7,0,0,3,2,1,1,0,0,1,0,5,3,0,1,5,0,4,2,0,1,6,2,7,1,1,3,5,4,3,8,0,0,7,1,9,1,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,1,0,4,0,0,0,2,1,1,1,1,8,33,11,22,20,0,4,24,5,18,9,0,0,4,3,2,1,0,2,3,0,5,5,0,1,9,0,4,2,0,1,8,2,7,1,1,4,9,6,4,11,0,3,13,3,2,5,0,2,9,1,1,2,0,0,1,1,1,0,0,2,2,0,0,2,0,0,4,0,0,0,0,0,2,0,0,0,0,1,4,2,1,3
60,01/12/2012,14156,2,F,T,F,T,F,86.6,0.3,9.08,220,700,47.54,186.35,88.23,24.44,817.16,30,7,0,0,2,1,0,4,28,9,20,10,0,3,20,5,19,4,0,0,2,1,1,1,0,0,3,0,7,1,0,1,12,3,5,1,0,2,3,1,6,1,0,1,8,4,1,6,0,0,2,1,0,1,0,2,16,4,10,9,0,1,10,1,9,4,0,0,0,0,0,1,0,0,2,0,4,1,0,0,7,1,2,1,0,1,1,0,3,1,0,1,6,3,1,5,0,2,4,1,7,0,0,2,3,0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,2,0,0,1,1,0,3,0,0,0,1,1,0,0,0,2,24,8,13,10,0,1,17,5,12,4,0,0,2,1,0,1,0,0,3,0,6,1,0,0,10,3,3,1,0,1,2,1,3,1,0,1,7,3,1,6,0,0,8,4,3,1,0,0,7,4,3,0,0,0,2,1,0,0,0,0,1,0,2,0,0,0,3,2,1,0,0,0,1,1,0,0,0,0,1,0,0,1
61,01/01/2013,16729,2,F,T,F,T,F,91,0.3,9.08,275.5,800,55.47,175.09,97.56,28.69,913.94,33,5,3,0,4,1,0,5,35,16,23,16,0,3,28,4,22,10,0,0,5,0,2,2,0,2,2,0,10,4,0,0,13,4,7,3,0,1,8,0,3,1,0,2,7,12,1,6,0,1,3,4,0,3,0,3,25,9,19,11,0,2,21,1,18,8,0,0,5,0,2,2,0,1,1,0,9,4,0,0,9,1,4,2,0,1,6,0,3,0,0,1,4,8,1,3,0,1,5,2,3,3,0,1,4,1,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,3,1,0,0,2,0,0,1,0,0,1,1,0,1,0,4,30,14,20,13,0,2,24,3,19,8,0,0,5,0,2,2,0,1,2,0,10,4,0,0,11,3,4,2,0,1,6,0,3,0,0,2,6,11,1,5,0,1,5,5,1,2,0,0,3,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,2,3,0,2
62,01/02/2013,15485,2,F,T,F,T,F,91.5,0.3,9.08,160,750,67.74,178.75,97.26,30.16,927.46,14,3,2,0,3,2,0,7,33,12,22,12,0,4,20,3,19,5,0,1,2,2,0,1,0,1,5,1,9,2,0,1,11,0,6,1,0,1,2,0,4,1,0,3,13,9,3,7,0,0,4,3,1,1,0,6,22,9,15,11,0,3,13,3,13,5,0,1,2,2,0,1,0,1,4,1,6,2,0,0,7,0,4,1,0,1,0,0,3,1,0,3,9,6,2,6,0,0,5,0,7,1,0,0,3,0,6,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,2,0,1,1,0,7,28,12,15,11,0,4,17,3,13,5,0,1,2,2,0,1,0,1,4,1,6,2,0,1,10,0,4,1,0,1,1,0,3,1,0,3,11,9,2,6,0,1,6,3,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0
63,01/03/2013,16687,2,F,T,F,T,F,89,0.3,9.08,207.5,700,65.44,202.07,103.01,28.94,942.20,24.00000001,9,5,0,4,0,1,4,31,21,28,11,1,1,27,5,28,5,1,0,5,1,2,1,0,0,7,1,6,3,0,0,14,2,8,1,0,1,1,1,12,0,0,3,4,16,0,6,0,0,2,3,0,2,1,4,10,17,16,8,1,1,8,4,16,4,1,0,0,1,0,1,0,0,4,1,3,2,0,0,4,2,6,1,0,1,0,0,7,0,0,3,2,13,0,4,0,0,10,1,7,1,0,0,9,0,7,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,6,0,2,0,0,0,0,0,4,0,0,0,1,1,0,1,1,4,21,20,21,10,1,1,18,5,21,5,1,0,3,1,2,1,0,0,6,1,5,3,0,0,8,2,6,1,0,1,1,1,8,0,0,3,3,15,0,5,0,0,11,3,5,2,0,0,10,1,5,1,0,0,3,0,2,0,0,0,2,0,2,1,0,0,4,0,0,0,0,0,1,1,1,0,0,0,1,2,0,1
