study_m,Month,obd,int_carb_asp,int_targ_screen,int_screen_all,int_hand,int_asp,all_gn_bsi,bedocc,hh_adherence,hh_trained,gel_alcolico,rectalswab,all_monitor_abx_DDD,cephalosporins_DDD,carbapenem_DDD,abhrnum,aps_cephs_DDD,fq_DDD,ecoli_ccs_bsi,ecoli_3gcr_bsi,cre_bsi,mssa_bsi,mrsa_bsi,gram_neg_bsi,csab_all_any,crab_all_any,cskp_all_any,crkp_all_any,cspa_all_any,crpa_all_any,csab_all_clinical,crab_all_clinical,cskp_all_clinical,crkp_all_clinical,cspa_all_clinical,crpa_all_clinical,csab_all_bsi,crab_all_bsi,cskp_all_bsi,crkp_all_bsi,cspa_all_bsi,crpa_all_bsi,csab_all_resp,crab_all_resp,cskp_all_resp,crkp_all_resp,cspa_all_resp,crpa_all_resp,csab_all_uti,crab_all_uti,cskp_all_uti,crkp_all_uti,cspa_all_uti,crpa_all_uti,csab_all_other,crab_all_other,cskp_all_other,crkp_all_other,cspa_all_other,crpa_all_other,csab_all_swab,crab_all_swab,cskp_all_swab,crkp_all_swab,cspa_all_swab,crpa_all_swab,csab_adm_swab,crab_adm_swab,cskp_adm_swab,crkp_adm_swab,cspa_adm_swab,crpa_adm_swab,csab_ho_any,crab_ho_any,cskp_ho_any,crkp_ho_any,cspa_ho_any,crpa_ho_any,csab_ho_clinical,crab_ho_clinical,cskp_ho_clinical,crkp_ho_clinical,cspa_ho_clinical,crpa_ho_clinical,csab_ho_bsi,crab_ho_bsi,cskp_ho_bsi,crkp_ho_bsi,cspa_ho_bsi,crpa_ho_bsi,csab_ho_resp,crab_ho_resp,cskp_ho_resp,crkp_ho_resp,cspa_ho_resp,crpa_ho_resp,csab_ho_uti,crab_ho_uti,cskp_ho_uti,crkp_ho_uti,cspa_ho_uti,crpa_ho_uti,csab_ho_other,crab_ho_other,cskp_ho_other,crkp_ho_other,cspa_ho_other,crpa_ho_other,csab_ho_swab,crab_ho_swab,cskp_ho_swab,crkp_ho_swab,cspa_ho_swab,crpa_ho_swab,csab_co_nothca_any,crab_co_nothca_any,cskp_co_nothca_any,crkp_co_nothca_any,cspa_co_nothca_any,crpa_co_nothca_any,csab_co_nothca_clinical,crab_co_nothca_clinical,cskp_co_nothca_clinical,crkp_co_nothca_clinical,cspa_co_nothca_clinical,crpa_co_nothca_clinical,csab_co_nothca_bsi,crab_co_nothca_bsi,cskp_co_nothca_bsi,crkp_co_nothca_bsi,cspa_co_nothca_bsi,crpa_co_nothca_bsi,csab_co_nothca_resp,crab_co_nothca_resp,cskp_co_nothca_resp,crkp_co_nothca_resp,cspa_co_nothca_resp,crpa_co_nothca_resp,csab_co_nothca_uti,crab_co_nothca_uti,cskp_co_nothca_uti,crkp_co_nothca_uti,cspa_co_nothca_uti,crpa_co_nothca_uti,csab_co_nothca_other,crab_co_nothca_other,cskp_co_nothca_other,crkp_co_nothca_other,cspa_co_nothca_other,crpa_co_nothca_other,csab_co_nothca_adm_swab,crab_co_nothca_adm_swab,cskp_co_nothca_adm_swab,crkp_co_nothca_adm_swab,cspa_co_nothca_adm_swab,crpa_co_nothca_adm_swab,csab_co_hca_any,crab_co_hca_any,cskp_co_hca_any,crkp_co_hca_any,cspa_co_hca_any,crpa_co_hca_any,csab_co_hca_clinical,crab_co_hca_clinical,cskp_co_hca_clinical,crkp_co_hca_clinical,cspa_co_hca_clinical,crpa_co_hca_clinical,csab_co_hca_bsi,crab_co_hca_bsi,cskp_co_hca_bsi,crkp_co_hca_bsi,cspa_co_hca_bsi,crpa_co_hca_bsi,csab_co_hca_resp,crab_co_hca_resp,cskp_co_hca_resp,crkp_co_hca_resp,cspa_co_hca_resp,crpa_co_hca_resp,csab_co_hca_uti,crab_co_hca_uti,cskp_co_hca_uti,crkp_co_hca_uti,cspa_co_hca_uti,crpa_co_hca_uti,csab_co_hca_other,crab_co_hca_other,cskp_co_hca_other,crkp_co_hca_other,cspa_co_hca_other,crpa_co_hca_other,csab_co_hca_adm_swab,crab_co_hca_adm_swab,cskp_co_hca_adm_swab,crkp_co_hca_adm_swab,cspa_co_hca_adm_swab,crpa_co_hca_adm_swab
50,Feb-12,18669,F,F,F,F,F,10.7129466,96.7,NA,3.33,163,230,15689,1321,849,162,588,3636,7,2,0,3,0,18,0,15,16,14,28,10,0,10,13,5,27,7,0,1,1,0,1,0,0,5,3,1,6,3,0,3,7,4,11,2,0,1,2,0,9,2,0,5,3,9,1,3,0,0,2,0,1,1,0,15,7,12,21,7,0,10,6,3,21,5,0,1,0,0,1,0,0,5,3,0,6,2,0,3,2,3,8,1,0,1,1,0,6,2,0,5,1,9,0,2,0,0,4,1,5,1,0,0,3,1,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,5,1,2,2,0,0,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0
51,Mar-12,18926,F,F,F,F,F,14.79446264,95.6,NA,3.33,219,265,15099,1563,1097,218,550,2765,8,5,0,8,0,34,1,13,18,29,31,14,0,9,15,12,27,10,0,4,3,2,1,0,0,3,4,2,8,5,0,1,4,6,13,4,0,1,4,2,5,1,1,4,3,17,4,4,0,1,0,2,0,0,1,10,12,22,24,8,0,7,9,7,20,4,0,4,1,1,1,0,0,2,3,2,5,2,0,0,1,3,9,2,0,1,4,1,5,0,1,3,3,15,4,4,0,1,3,2,3,2,0,1,3,2,3,2,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,5,4,4,0,1,3,3,4,4,0,0,1,1,0,0,0,0,0,0,2,3,0,1,2,2,2,0,0,0,0,0,0,1,0,1,0,2,0,0
52,Apr-12,17811,F,F,F,F,F,10.1061142,91.6,NA,3.33,213,300,15537,1471,940,213,466,3036,11,2,0,2,3,40,1,17,20,27,21,17,1,15,19,15,19,9,0,3,3,6,0,1,0,5,3,5,9,2,0,3,9,2,6,1,1,4,4,2,4,5,0,2,1,12,2,8,0,0,0,1,0,2,1,13,11,24,17,13,1,11,10,13,15,7,0,3,1,6,0,1,0,4,2,5,7,1,0,1,4,0,5,1,1,3,3,2,3,4,0,2,1,11,2,6,0,2,4,1,2,2,0,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,1,1,0,1,0,0,0,0,1,0,2,0,2,5,2,2,2,0,2,5,2,2,2,0,0,2,0,0,0,0,1,1,0,1,1,0,1,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
53,May-12,19562,F,F,F,F,F,17.38063593,90.8,NA,3.33,226.5,203,15700,1300,1212,226,580,3090,10,6,0,4,2,31,0,9,29,32,18,14,0,8,25,15,15,9,0,0,3,3,3,2,0,5,3,3,4,3,0,2,15,5,5,2,0,1,4,4,3,2,0,1,4,17,3,5,0,1,0,3,1,0,0,6,17,24,12,14,0,6,13,10,10,9,0,0,2,2,2,2,0,5,3,2,4,3,0,0,7,2,3,2,0,1,1,4,1,2,0,0,4,14,2,5,0,1,8,2,4,0,0,0,8,2,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,2,0,2,0,0,1,0,0,0,0,0,2,4,6,2,0,0,2,4,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,3,1,1,0,0,0,1,0,0,0,0,0,0,3,1,0
54,Jun-12,15413,F,F,F,F,F,25.95211834,86.5,NA,3.33,153.5,300,13639,1286,1078,153,494,2916,2,2,0,3,0,17,0,12,24,14,17,12,0,8,21,6,15,8,0,3,3,0,1,0,0,2,5,1,2,5,0,2,7,5,8,2,0,1,6,0,4,1,0,4,3,8,2,4,0,1,3,1,1,0,0,7,8,9,10,9,0,4,8,2,9,5,0,2,1,0,1,0,0,1,3,1,2,4,0,0,1,1,4,1,0,1,3,0,2,0,0,3,0,7,1,4,0,3,7,2,5,0,0,2,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,2,0,0,0,1,0,2,0,0,1,1,0,1,0,0,2,9,3,2,3,0,2,7,2,2,3,0,1,2,0,0,0,0,1,2,0,0,1,0,0,1,2,2,1,0,0,2,0,0,1,0,0,2,1,0,0
55,Jul-12,14254,F,F,F,F,F,21.74828118,93.9,NA,3.33,200.5,203,11333,1093,1007,200,501,2676,11,5,0,4,3,36,3,14,27,20,18,15,2,10,22,10,17,8,1,2,3,1,2,1,0,6,3,1,5,0,0,1,7,8,4,2,1,1,9,0,6,5,1,4,5,10,1,7,1,2,3,3,0,2,2,12,15,15,14,13,2,10,13,8,13,8,1,2,1,1,2,1,0,6,3,1,4,0,0,1,2,6,2,2,1,1,7,0,5,5,0,2,2,7,1,5,1,2,9,2,3,1,0,0,7,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,1,2,0,0,0,2,0,0,0,1,2,2,1,0,1,0,0,3,3,1,1,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,2,0,1
56,Aug-12,13589,F,F,F,F,F,12.51011848,85.1,NA,3.33,145.5,200,13577,1206,1102,145,392,2370,5,2,0,1,2,25,0,7,30,20,29,12,0,5,29,8,27,4,0,0,5,1,1,1,0,2,6,0,10,1,0,2,12,6,8,2,0,1,6,1,8,0,0,2,1,12,2,8,0,2,1,4,2,2,0,4,18,12,15,9,0,4,18,4,15,3,0,0,2,0,0,1,0,1,4,0,7,1,0,2,6,3,5,1,0,1,6,1,3,0,0,0,0,8,0,6,0,0,7,4,9,2,0,0,7,2,8,0,0,0,2,0,0,0,0,0,2,0,3,0,0,0,3,2,1,0,0,0,0,0,4,0,0,0,0,2,1,2,0,3,5,4,5,1,0,1,4,2,4,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,3,1,2,1,0,0,0,0,1,0,0,2,1,2,1,0
57,Sep-12,13571,F,T,F,T,F,26.52715349,94.4,NA,3.33,197,250,11317,1236,804,197,347,2111,12,6,0,3,2,33,1,6,36,12,24,21,1,0,32,4,21,9,0,0,2,1,2,3,0,0,4,0,3,2,0,0,16,2,9,3,1,0,10,1,7,1,0,6,4,8,3,12,0,2,2,2,2,3,1,4,21,9,12,17,1,0,19,3,11,8,0,0,2,1,2,3,0,0,4,0,2,2,0,0,8,1,4,3,1,0,5,1,3,0,0,4,2,6,1,9,0,0,8,0,9,3,0,0,7,0,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,0,0,0,4,0,3,1,0,0,1,0,2,2,0,2,7,3,3,1,0,0,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,0,0,1,0,1,0,0,2,1,2,0,1
58,Oct-12,15362,F,T,F,T,F,16.27392267,93.1,NA,3.33,234.5,260,13935,1599,1093,234,420,2387,9,3,0,2,4,30,3,12,51,34,37,45,1,6,45,8,31,9,0,1,8,2,3,0,0,2,8,3,11,3,0,2,16,3,7,2,1,1,13,0,10,4,2,6,6,26,6,,0,2,3,11,2,11,2,9,34,20,23,33,0,5,31,5,19,8,0,1,4,2,2,0,0,1,6,2,5,3,0,2,11,1,5,2,0,1,10,0,7,3,2,4,3,15,4,25,0,1,8,5,8,3,0,0,6,0,7,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,4,0,2,0,0,0,0,0,3,0,0,1,2,5,1,3,1,2,9,9,6,9,1,1,8,3,5,1,0,0,3,0,1,0,0,1,1,1,4,0,0,0,1,2,0,0,1,0,3,0,0,1,0,1,1,6,1,8
59,Nov-12,14764,F,T,F,T,F,22.35166622,96.5,0.3,9.08,179,600,12476,1229,1046,178,302,2961,9,1,0,4,3,33,1,8,40,12,31,21,0,4,29,5,26,9,0,0,4,3,2,1,0,2,3,0,5,5,0,1,13,0,8,2,0,1,9,2,11,1,1,4,11,7,5,12,0,1,6,3,2,4,1,5,20,8,20,15,0,2,15,4,17,7,0,0,3,2,1,1,0,0,1,0,5,3,0,1,5,0,4,2,0,1,6,2,7,1,1,3,5,4,3,8,0,0,7,1,9,1,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,1,0,4,0,0,0,2,1,1,1,0,3,13,3,2,5,0,2,9,1,1,2,0,0,1,1,1,0,0,2,2,0,0,2,0,0,4,0,0,0,0,0,2,0,0,0,0,1,4,2,1,3
60,Dec-12,14156,F,T,F,T,F,21.19242724,86.6,0.3,9.08,220,700,11567,1249,673,219,346,2638,7,0,0,2,1,14,0,4,28,9,20,10,0,3,20,5,19,4,0,0,2,1,1,1,0,0,3,0,7,1,0,1,12,3,5,1,0,2,3,1,6,1,0,1,8,4,1,6,0,0,2,1,0,1,0,2,16,4,10,9,0,1,10,1,9,4,0,0,0,0,0,1,0,0,2,0,4,1,0,0,7,1,2,1,0,1,1,0,3,1,0,1,6,3,1,5,0,2,4,1,7,0,0,2,3,0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,2,0,0,1,1,0,3,0,0,0,1,1,0,0,0,0,8,4,3,1,0,0,7,4,3,0,0,0,2,1,0,0,0,0,1,0,2,0,0,0,3,2,1,0,0,0,1,1,0,0,0,0,1,0,0,1
61,Jan-13,16729,F,T,F,T,F,19.72622392,91,0.3,9.08,275.5,800,15289,1632,928,275,480,2929,5,3,0,4,1,24,0,5,35,16,23,16,0,3,28,4,22,10,0,0,5,0,2,2,0,2,2,0,10,4,0,0,13,4,7,3,0,1,8,0,3,1,0,2,7,12,1,6,0,1,3,4,0,3,0,3,25,9,19,11,0,2,21,1,18,8,0,0,5,0,2,2,0,1,1,0,9,4,0,0,9,1,4,2,0,1,6,0,3,0,0,1,4,8,1,3,0,1,5,2,3,3,0,1,4,1,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,3,1,0,0,2,0,0,1,0,0,1,1,0,1,0,1,5,5,1,2,0,0,3,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,2,3,0,2
62,Feb-13,15485,F,T,F,T,F,9.041007427,91.5,0.3,9.08,160,750,14361,1506,1049,159,467,2768,3,2,0,3,2,17,0,7,33,12,22,12,0,4,20,3,19,5,0,1,2,2,0,1,0,1,5,1,9,2,0,1,11,0,6,1,0,1,2,0,4,1,0,3,13,9,3,7,0,0,4,3,1,1,0,6,22,9,15,11,0,3,13,3,13,5,0,1,2,2,0,1,0,1,4,1,6,2,0,0,7,0,4,1,0,1,0,0,3,1,0,3,9,6,2,6,0,0,5,0,7,1,0,0,3,0,6,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,2,0,1,1,0,1,6,3,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0
63,Mar-13,16687,F,T,F,T,F,14.38245341,89,0.3,9.08,207.5,700,15722,1719,1092,207,483,3372,9,5,0,4,0,24,1,4,31,21,28,11,1,1,27,5,28,5,1,0,5,1,2,1,0,0,7,1,6,3,0,0,14,2,8,1,0,1,1,1,12,0,0,3,4,16,0,6,0,0,2,3,0,2,1,4,10,17,16,8,1,1,8,4,16,4,1,0,0,1,0,1,0,0,4,1,3,2,0,0,4,2,6,1,0,1,0,0,7,0,0,3,2,13,0,4,0,0,10,1,7,1,0,0,9,0,7,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,6,0,2,0,0,0,0,0,4,0,0,0,1,1,0,1,0,0,11,3,5,2,0,0,10,1,5,1,0,0,3,0,2,0,0,0,2,0,2,1,0,0,4,0,0,0,0,0,1,1,1,0,0,0,1,2,0,1
64,Apr-13,15020,F,T,F,T,F,11.31824234,88.1,0.3,9.08,207.5,680,12797,1536,830,207,285,2186,6,5,0,0,2,22,1,8,23,15,24,10,1,5,18,4,21,5,1,0,1,1,0,0,0,1,5,1,7,2,0,0,8,2,7,0,0,4,4,0,7,3,0,3,5,11,3,5,0,1,3,2,1,0,0,5,8,12,17,9,0,3,6,3,15,4,0,0,1,1,0,0,0,1,1,1,5,2,0,0,2,1,4,0,0,2,2,0,6,2,0,2,2,9,2,5,0,0,7,1,4,1,0,0,6,0,4,1,0,0,0,0,0,0,0,0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,3,8,2,3,0,1,2,6,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,2,0,0,2,2,0,0,0,0,1,2,1,1,0
65,May-13,15746,F,T,F,T,F,15.24196621,88.4,0.3,9.08,213,650,13001,1650,1069,213,568,2426,11,2,0,4,1,30,2,6,28,18,26,6,1,2,20,8,25,3,0,1,4,0,1,0,0,1,3,0,6,0,0,0,12,6,13,2,1,0,1,2,5,1,1,4,8,10,1,3,1,0,7,2,0,1,1,6,7,12,16,4,1,2,6,4,15,2,0,1,2,0,1,0,0,1,2,0,4,0,0,0,1,2,8,1,1,0,1,2,2,1,0,4,1,8,1,2,1,0,14,2,8,1,0,0,8,2,8,1,0,0,2,0,0,0,0,0,1,0,2,0,0,0,5,2,3,1,0,0,0,0,3,0,1,0,6,0,0,0,0,0,7,4,2,1,0,0,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,0,0,0,0,0,0,0,0,0,1,2,0,1
66,Jun-13,15968,F,T,F,T,F,13.77755511,85.5,0.3,9.08,205.5,630,14424,1722,1012,205,332,2893,8,4,0,6,3,27,0,12,25,10,23,10,0,4,23,5,21,5,0,1,1,0,2,0,0,2,3,1,4,1,0,0,16,4,7,3,0,1,3,0,8,1,0,8,2,5,2,5,0,4,1,1,1,1,0,8,10,7,11,9,0,4,9,3,10,5,0,1,0,0,2,0,0,2,1,1,2,1,0,0,5,2,1,3,0,1,3,0,5,1,0,4,1,4,1,4,0,2,6,2,7,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,4,0,0,0,0,0,2,0,0,2,0,1,1,0,0,2,9,1,5,1,0,0,8,1,5,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,7,1,2,0,0,0,0,0,1,0,0,2,1,0,0,1
67,Jul-13,14562,F,T,F,T,F,20.60156572,89.9,0.3,9.08,250.5,600,12783,1304,1067,250,502,2465,8,6,0,4,1,28,1,9,31,30,32,8,1,8,28,11,31,4,0,0,2,1,2,0,0,5,4,2,6,2,0,1,13,8,17,1,1,2,9,0,6,1,0,1,3,19,1,4,0,0,1,1,0,2,1,8,13,28,18,4,1,7,11,10,17,2,0,0,2,1,2,0,0,5,1,2,2,1,0,0,3,7,10,1,1,2,5,0,3,0,0,1,2,18,1,2,0,1,14,0,8,2,0,1,13,0,8,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,7,0,4,0,0,0,4,0,2,0,0,0,1,0,0,2,0,0,4,2,6,2,0,0,4,1,6,2,0,0,0,0,0,0,0,0,1,0,2,1,0,0,3,1,3,0,0,0,0,0,1,1,0,0,0,1,0,0
68,Aug-13,12685,F,T,F,T,F,21.28498226,89.1,0.3,9.08,243.5,550,12606,1206,1043,243,418,2689,11,4,0,5,0,25,1,11,43,20,28,12,1,4,33,3,26,9,1,0,4,2,0,0,0,1,6,0,4,1,0,1,18,1,13,6,0,2,5,0,9,2,0,7,10,17,2,3,0,1,4,2,2,0,1,10,17,17,17,10,1,4,11,2,17,7,1,0,3,1,0,0,0,1,3,0,3,1,0,1,4,1,7,4,0,2,1,0,7,2,0,6,6,15,0,3,0,0,19,0,5,1,0,0,16,0,4,1,0,0,1,0,0,0,0,0,2,0,1,0,0,0,10,0,2,1,0,0,3,0,1,0,0,0,3,0,1,0,0,1,7,3,6,1,0,0,6,1,5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,0,4,1,0,0,1,0,1,0,0,1,1,2,1,0
69,Sep-13,13463,F,T,F,T,F,20.79774196,84.3,0.3,9.08,316.3,700,10960,748,1051,316,391,2603,10,2,0,4,0,31,3,8,49,24,28,6,2,4,41,8,22,2,0,1,6,5,2,0,1,2,4,0,3,1,0,0,24,3,8,1,1,1,7,0,9,0,1,4,8,16,6,4,1,1,4,2,2,1,1,7,28,20,16,4,1,4,24,6,12,1,0,1,5,4,1,0,0,2,3,0,2,0,0,0,10,2,5,1,1,1,6,0,4,0,0,3,4,14,4,3,2,1,7,2,8,1,1,0,6,2,7,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,5,1,2,0,0,0,0,0,3,0,1,1,1,0,1,1,0,0,14,2,4,1,0,0,11,0,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,9,0,1,0,0,0,1,0,2,0,0,0,3,2,1,0
70,Oct-13,15935,F,T,F,T,F,15.68873549,89.2,0.3,9.08,289,900,13075,548,1292,289,463,3547,12,2,0,6,2,38,0,12,51,20,37,8,0,2,44,5,32,6,0,0,8,0,3,1,0,0,6,0,7,3,0,0,21,5,14,1,0,2,9,0,8,1,0,10,7,15,5,2,0,6,6,6,1,0,0,6,24,11,22,6,0,2,23,2,18,4,0,0,3,0,2,1,0,0,5,0,6,2,0,0,13,2,5,1,0,2,2,0,5,0,0,4,1,9,4,2,0,2,16,4,9,0,0,0,13,2,8,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,4,2,6,0,0,0,4,0,1,0,0,2,3,2,1,0,0,4,11,5,6,2,0,0,8,1,6,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,4,1,3,0,0,0,3,0,2,1,0,4,3,4,0,0
71,Nov-13,15033,F,T,F,T,F,20.62129981,87.6,0.3,12.58,317.65,1100,12154,684,1137,317,362,2827,14,2,0,6,4,29,1,11,37,21,23,16,1,2,34,4,21,9,0,0,3,2,0,0,0,1,4,0,6,2,0,0,18,2,9,3,1,1,9,0,6,4,0,9,3,17,2,7,0,2,2,2,1,2,0,9,16,17,16,10,0,2,15,2,15,5,0,0,2,2,0,0,0,1,3,0,4,2,0,0,6,0,6,1,0,1,4,0,5,2,0,7,1,15,1,5,0,1,12,3,4,4,0,0,11,1,4,3,0,0,1,0,0,0,0,0,0,0,2,0,0,0,7,1,1,1,0,0,3,0,1,2,0,1,1,2,0,1,1,1,9,1,3,2,1,0,8,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,2,1,1,0,2,0,0,0,0,1,1,0,1,1
72,Dec-13,15939,F,T,F,T,F,23.84089341,89.4,0.3,12.58,287,1000,14838,567,1029,287,474,3707,9,5,0,3,2,25,0,31,21,24,23,10,0,15,18,5,21,8,0,2,0,1,1,0,0,10,1,2,5,4,0,1,14,2,11,2,0,2,3,0,4,2,0,16,3,19,2,2,0,1,1,4,1,0,0,29,8,19,16,7,0,14,6,4,15,5,0,2,0,1,1,0,0,9,0,2,4,3,0,1,5,1,8,0,0,2,1,0,2,2,0,15,2,15,1,2,0,1,8,2,4,2,0,0,7,1,4,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,4,1,1,1,0,0,2,0,2,0,0,1,1,1,0,0,0,1,5,3,3,1,0,1,5,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,2,1,0,0,0,0,0,0,0,0,0,3,1,0
73,Jan-14,15370,T,T,F,T,F,18.86792453,90.6,0.3,12.58,331,1200,13828,1028,757,331,316,3782,8,6,0,4,3,34,1,16,23,19,24,10,0,3,22,7,24,6,0,0,2,1,3,0,0,0,3,1,6,3,0,1,14,5,7,2,0,2,3,0,8,1,1,13,1,12,0,4,1,1,0,0,0,0,0,14,8,18,11,6,0,2,7,6,11,2,0,0,1,1,1,0,0,0,1,1,5,1,0,1,4,4,3,1,0,1,1,0,2,0,0,12,1,12,0,4,0,1,10,0,5,3,0,1,10,0,5,3,0,0,0,0,1,0,0,0,2,0,1,2,0,0,6,0,0,1,0,1,2,0,3,0,0,0,0,0,0,0,1,1,5,1,8,1,0,0,5,1,8,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,1,4,0,0,0,0,0,3,1,1,1,0,0,0,0
74,Feb-14,16069,T,T,F,T,F,15.55790653,93.3,0.3,12.58,329,1100,14581,959,1038,328,397,4059,12,5,0,5,0,29,1,12,28,11,43,8,0,1,23,0,38,5,0,0,0,0,1,1,0,1,2,0,10,0,0,0,12,0,16,3,0,0,9,0,11,1,1,11,5,11,5,3,1,3,3,3,1,0,0,9,14,8,30,5,0,1,12,0,26,2,0,0,0,0,1,0,0,1,1,0,8,0,0,0,7,0,10,1,0,0,4,0,7,1,0,8,2,8,4,3,1,1,6,1,9,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,4,0,0,0,3,0,3,0,1,1,1,1,1,0,0,2,8,2,4,3,0,0,6,0,4,3,0,0,0,0,0,1,0,0,1,0,1,0,0,0,3,0,2,2,0,0,2,0,1,0,0,2,2,2,0,0
75,Mar-14,17201,T,T,F,T,F,19.76629266,92,0.3,12.58,228.5,990,15219,696,964,228,330,3797,8,2,0,1,1,30,3,5,34,31,33,9,1,1,28,6,26,7,1,0,3,1,4,1,0,0,1,0,6,2,0,1,13,5,11,1,0,0,11,0,5,3,2,4,6,25,7,2,0,0,3,8,0,0,3,4,17,19,21,7,1,0,14,2,14,5,1,0,2,1,4,1,0,0,1,0,3,1,0,0,4,1,5,1,0,0,7,0,2,2,2,4,3,17,7,2,0,0,14,7,7,0,0,0,12,1,7,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,8,1,3,0,0,0,3,0,1,0,0,0,2,6,0,0,0,1,3,5,5,2,0,1,2,3,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,3,0,0,0,1,0,2,1,0,0,1,2,0,0
76,Apr-14,16255,T,T,F,T,F,17.84066441,85.9,0.3,12.58,131.5,1000,14495,1280,796,131,477,3237,7,4,0,3,4,27,0,5,35,9,27,8,0,1,31,1,26,4,0,0,3,1,2,2,0,0,7,0,2,0,0,0,19,0,14,2,0,1,2,0,8,0,0,4,4,8,1,4,0,2,2,1,0,1,0,2,20,8,10,4,0,0,18,1,9,1,0,0,3,1,1,0,0,0,5,0,1,0,0,0,9,0,5,1,0,0,1,0,2,0,0,2,2,7,1,3,0,2,7,0,10,2,0,1,7,0,10,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,6,0,5,0,0,1,0,0,4,0,0,1,0,0,0,1,0,1,8,1,7,2,0,0,6,0,7,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,4,0,4,1,0,0,1,0,2,0,0,1,2,1,0,0
