study_m,phases,year,month,day,date,obd,csab_ho_clinical,crab_ho_clinical,cskp_ho_clinical,crkp_ho_clinical,cspa_ho_clinical,crpa_ho_clinical,csab_ho_bsi,crab_ho_bsi,cskp_ho_bsi,crkp_ho_bsi,cspa_ho_bsi,crpa_ho_bsi,csab_ho_resp,crab_ho_resp,cskp_ho_resp,crkp_ho_resp,cspa_ho_resp,crpa_ho_resp,csab_ho_uti,crab_ho_uti,cskp_ho_uti,crkp_ho_uti,cspa_ho_uti,crpa_ho_uti,csab_ho_other,crab_ho_other,cskp_ho_other,crkp_ho_other,cspa_ho_other,crpa_ho_other,csab_ho_swab,crab_ho_swab,cskp_ho_swab,crkp_ho_swab,cspa_ho_swab,crpa_ho_swab,csab_co_nothca_clinical,crab_co_nothca_clinical,cskp_co_nothca_clinical,crkp_co_nothca_clinical,cspa_co_nothca_clinical,crpa_co_nothca_clinical,csab_co_nothca_bsi,crab_co_nothca_bsi,cskp_co_nothca_bsi,crkp_co_nothca_bsi,cspa_co_nothca_bsi,crpa_co_nothca_bsi,csab_co_nothca_resp,crab_co_nothca_resp,cskp_co_nothca_resp,crkp_co_nothca_resp,cspa_co_nothca_resp,crpa_co_nothca_resp,csab_co_nothca_uti,crab_co_nothca_uti,cskp_co_nothca_uti,crkp_co_nothca_uti,cspa_co_nothca_uti,crpa_co_nothca_uti,csab_co_nothca_other,crab_co_nothca_other,cskp_co_nothca_other,crkp_co_nothca_other,cspa_co_nothca_other,crpa_co_nothca_other,csab_co_nothca_adm_swab,crab_co_nothca_adm_swab,cskp_co_nothca_adm_swab,crkp_co_nothca_adm_swab,cspa_co_nothca_adm_swab,crpa_co_nothca_adm_swab,csab_co_hca_clinical,crab_co_hca_clinical,cskp_co_hca_clinical,crkp_co_hca_clinical,cspa_co_hca_clinical,crpa_co_hca_clinical,csab_co_hca_bsi,crab_co_hca_bsi,cskp_co_hca_bsi,crkp_co_hca_bsi,cspa_co_hca_bsi,crpa_co_hca_bsi,csab_co_hca_resp,crab_co_hca_resp,cskp_co_hca_resp,crkp_co_hca_resp,cspa_co_hca_resp,crpa_co_hca_resp,csab_co_hca_uti,crab_co_hca_uti,cskp_co_hca_uti,crkp_co_hca_uti,cspa_co_hca_uti,crpa_co_hca_uti,csab_co_hca_other,crab_co_hca_other,cskp_co_hca_other,crkp_co_hca_other,cspa_co_hca_other,crpa_co_hca_other,csab_co_hca_adm_swab,crab_co_hca_adm_swab,cskp_co_hca_adm_swab,crkp_co_hca_adm_swab,cspa_co_hca_adm_swab,crpa_co_hca_adm_swab,csab_ho_clinical_incid,crab_ho_clinical_incid,cskp_ho_clinical_incid,crkp_ho_clinical_incid,cspa_ho_clinical_incid,crpa_ho_clinical_incid,csab_ho_bsi_incid,crab_ho_bsi_incid,cskp_ho_bsi_incid,crkp_ho_bsi_incid,cspa_ho_bsi_incid,crpa_ho_bsi_incid,csab_ho_resp_incid,crab_ho_resp_incid,cskp_ho_resp_incid,crkp_ho_resp_incid,cspa_ho_resp_incid,crpa_ho_resp_incid,csab_ho_uti_incid,crab_ho_uti_incid,cskp_ho_uti_incid,crkp_ho_uti_incid,cspa_ho_uti_incid,crpa_ho_uti_incid,csab_ho_other_incid,crab_ho_other_incid,cskp_ho_other_incid,crkp_ho_other_incid,cspa_ho_other_incid,crpa_ho_other_incid,csab_ho_swab_incid,crab_ho_swab_incid,cskp_ho_swab_incid,crkp_ho_swab_incid,cspa_ho_swab_incid,crpa_ho_swab_incid,csab_co_nothca_clinical_incid,crab_co_nothca_clinical_incid,cskp_co_nothca_clinical_incid,crkp_co_nothca_clinical_incid,cspa_co_nothca_clinical_incid,crpa_co_nothca_clinical_incid,csab_co_nothca_bsi_incid,crab_co_nothca_bsi_incid,cskp_co_nothca_bsi_incid,crkp_co_nothca_bsi_incid,cspa_co_nothca_bsi_incid,crpa_co_nothca_bsi_incid,csab_co_nothca_resp_incid,crab_co_nothca_resp_incid,cskp_co_nothca_resp_incid,crkp_co_nothca_resp_incid,cspa_co_nothca_resp_incid,crpa_co_nothca_resp_incid,csab_co_nothca_uti_incid,crab_co_nothca_uti_incid,cskp_co_nothca_uti_incid,crkp_co_nothca_uti_incid,cspa_co_nothca_uti_incid,crpa_co_nothca_uti_incid,csab_co_nothca_other_incid,crab_co_nothca_other_incid,cskp_co_nothca_other_incid,crkp_co_nothca_other_incid,cspa_co_nothca_other_incid,crpa_co_nothca_other_incid,csab_co_nothca_adm_swab_incid,crab_co_nothca_adm_swab_incid,cskp_co_nothca_adm_swab_incid,crkp_co_nothca_adm_swab_incid,cspa_co_nothca_adm_swab_incid,crpa_co_nothca_adm_swab_incid,csab_co_hca_clinical_incid,crab_co_hca_clinical_incid,cskp_co_hca_clinical_incid,crkp_co_hca_clinical_incid,cspa_co_hca_clinical_incid,crpa_co_hca_clinical_incid,csab_co_hca_bsi_incid,crab_co_hca_bsi_incid,cskp_co_hca_bsi_incid,crkp_co_hca_bsi_incid,cspa_co_hca_bsi_incid,crpa_co_hca_bsi_incid,csab_co_hca_resp_incid,crab_co_hca_resp_incid,cskp_co_hca_resp_incid,crkp_co_hca_resp_incid,cspa_co_hca_resp_incid,crpa_co_hca_resp_incid,csab_co_hca_uti_incid,crab_co_hca_uti_incid,cskp_co_hca_uti_incid,crkp_co_hca_uti_incid,cspa_co_hca_uti_incid,crpa_co_hca_uti_incid,csab_co_hca_other_incid,crab_co_hca_other_incid,cskp_co_hca_other_incid,crkp_co_hca_other_incid,cspa_co_hca_other_incid,crpa_co_hca_other_incid,csab_co_hca_adm_swab_incid,crab_co_hca_adm_swab_incid,cskp_co_hca_adm_swab_incid,crkp_co_hca_adm_swab_incid,cspa_co_hca_adm_swab_incid,crpa_co_hca_adm_swab_incid
1,1,2008,1,1,01/01/2008,18408,0,0,11,0,25,3,0,0,0,0,1,1,0,0,3,0,10,1,0,0,4,0,6,1,0,0,4,0,8,0,0,0,2,0,3,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,3,0,4,0,0,0,1,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,5.98,0,13.58,1.63,0,0,0,0,0.54,0.54,0,0,1.63,0,5.43,0.54,0,0,2.17,0,3.26,0.54,0,0,2.17,0,4.35,0,0,0,1.09,0,1.63,0,0,0,0.54,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0.54,0,0,0,0.54,0,2.17,0,0,0,0,0,1.09,0,0,0,0.54,0,0.54,0,0.54,0,1.63,0,2.17,0,0,0,0.54,0,0.54,0,0.54,0,0,0,1.09,0,0,0,0.54,0,0,0,0,0,0.54,0,0.54,0,0,0,0,0,0.54,0
2,1,2008,2,1,01/02/2008,18408,1,0,8,0,25,3,0,0,2,0,1,0,1,0,1,0,6,2,0,0,5,0,8,1,0,0,0,0,10,0,0,0,2,0,3,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,1,0,0,0,0,0,1,0,5,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0.54,0,4.35,0,13.58,1.63,0,0,1.09,0,0.54,0,0.54,0,0.54,0,3.26,1.09,0,0,2.72,0,4.35,0.54,0,0,0,0,5.43,0,0,0,1.09,0,1.63,0.54,0,0,1.09,0,1.09,0,0,0,0,0,0,0,0,0,0.54,0,0,0,0,0,0,0,0.54,0,0,0,0.54,0,0.54,0,0,0,0,0,0,0,0,0,2.17,0,4.35,0,0,0,0.54,0,0,0,0,0,0.54,0,2.72,0,0,0,0.54,0,1.09,0,0,0,0.54,0,0.54,0,0,0,0,0,0,0
3,1,2008,3,1,01/03/2008,18408,2,0,9,0,16,1,0,0,2,0,2,0,1,0,2,0,2,1,0,0,5,0,5,0,1,0,0,0,7,0,0,0,1,0,0,1,0,0,5,0,4,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1.09,0,4.89,0,8.69,0.54,0,0,1.09,0,1.09,0,0.54,0,1.09,0,1.09,0.54,0,0,2.72,0,2.72,0,0.54,0,0,0,3.8,0,0,0,0.54,0,0,0.54,0,0,2.72,0,2.17,0,0,0,0.54,0,0,0,0,0,0.54,0,1.09,0,0,0,1.63,0,0.54,0,0,0,0,0,0.54,0,0,0,0,0,0.54,0,0,0,2.17,0,1.63,0,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0,1.09,0,1.09,0,0,0,0.54,0,0.54,0,0,0,0,0,0,0
4,1,2008,4,1,01/04/2008,18408,1,0,16,0,22,2,0,0,2,0,1,0,0,0,5,0,9,2,0,0,6,0,9,0,1,0,3,0,3,0,0,0,0,0,3,1,0,0,4,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,3,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,1,0,1,0,0.54,0,8.69,0,11.95,1.09,0,0,1.09,0,0.54,0,0,0,2.72,0,4.89,1.09,0,0,3.26,0,4.89,0,0.54,0,1.63,0,1.63,0,0,0,0,0,1.63,0.54,0,0,2.17,0,1.09,0,0,0,0,0,0,0,0,0,0.54,0,0.54,0,0,0,1.63,0,0,0,0,0,0,0,0.54,0,0,0,0.54,0,0.54,0,0,0,1.63,0,2.17,0,0,0,0.54,0,0,0,0,0,0,0,0.54,0,0,0,0.54,0,1.09,0,0,0,0.54,0,0.54,0,0,0,0.54,0,0.54,0
5,1,2008,5,1,01/05/2008,18408,1,0,15,1,21,4,0,0,0,0,3,0,1,0,3,0,8,4,0,0,8,0,3,0,0,0,4,1,7,0,0,0,2,0,3,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,4,0,8,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0,3,1,0,0,1,0,3,0,0,0,0,0,0,0,0.54,0,8.15,0.54,11.41,2.17,0,0,0,0,1.63,0,0.54,0,1.63,0,4.35,2.17,0,0,4.35,0,1.63,0,0,0,2.17,0.54,3.8,0,0,0,1.09,0,1.63,0,0,0,1.63,0,1.09,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63,0,0,0,0,0,0,0,1.09,0.54,0,0,0,0,0,0,0,0,2.17,0,4.35,0.54,0,0,0.54,0,0,0,0,0,0.54,0,1.09,0,0,0,0.54,0,1.63,0.54,0,0,0.54,0,1.63,0,0,0,0,0,0,0
6,1,2008,6,1,01/06/2008,18408,0,0,8,0,18,6,0,0,0,0,1,0,0,0,5,0,6,3,0,0,3,0,7,1,0,0,0,0,4,2,0,0,1,0,0,2,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4.35,0,9.78,3.26,0,0,0,0,0.54,0,0,0,2.72,0,3.26,1.63,0,0,1.63,0,3.8,0.54,0,0,0,0,2.17,1.09,0,0,0.54,0,0,1.09,0,0,0.54,0,3.8,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,1.09,0,0,0,0.54,0,1.63,0,0,0,0,0,0.54,0,0,0,1.09,0,3.26,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,1.09,0,1.09,0,0,0,0,0,1.09,0,0,0,0,0,0,0
7,1,2008,7,1,01/07/2008,18408,1,0,17,0,24,7,0,0,1,0,2,0,1,0,6,0,8,2,0,0,9,0,7,3,0,0,1,0,7,2,0,0,1,0,2,0,0,0,3,0,4,1,0,0,1,0,0,0,0,0,1,0,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3,0,6,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0.54,0,9.24,0,13.04,3.8,0,0,0.54,0,1.09,0,0.54,0,3.26,0,4.35,1.09,0,0,4.89,0,3.8,1.63,0,0,0.54,0,3.8,1.09,0,0,0.54,0,1.09,0,0,0,1.63,0,2.17,0.54,0,0,0.54,0,0,0,0,0,0.54,0,1.09,0.54,0,0,0.54,0,0.54,0,0,0,0,0,0.54,0,0,0,0,0,0.54,0,0.54,0,1.63,0,3.26,0.54,0,0,0,0,0,0,0.54,0,0,0,0.54,0,0,0,1.63,0,1.63,0.54,0,0,0,0,1.09,0,0,0,0,0,0,0
8,1,2008,8,1,01/08/2008,14345,1,1,17,1,29,2,0,0,1,0,4,0,0,0,7,0,10,1,0,1,7,0,7,0,1,0,2,1,8,1,0,0,2,0,1,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,5,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0.7,0.7,11.85,0.7,20.22,1.39,0,0,0.7,0,2.79,0,0,0,4.88,0,6.97,0.7,0,0.7,4.88,0,4.88,0,0.7,0,1.39,0.7,5.58,0.7,0,0,1.39,0,0.7,0,0,0,2.79,0,3.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79,0,3.49,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,3.49,0,3.49,0,0,0,1.39,0,0.7,0,0,0,0,0,1.39,0,0,0,1.39,0,1.39,0,0,0,0.7,0,0,0,0,0,0.7,0,0,0
9,1,2008,9,1,01/09/2008,17613,3,4,10,5,22,4,0,0,0,3,0,1,2,1,0,0,6,1,1,1,8,2,8,1,0,2,2,0,8,1,2,0,1,0,3,0,0,0,8,0,5,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,1,0,0,0,4,0,2,1,0,0,1,0,2,0,1,0,6,0,4,1,0,0,1,0,0,0,0,0,2,0,2,1,1,0,2,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0,1.7,2.27,5.68,2.84,12.49,2.27,0,0,0,1.7,0,0.57,1.14,0.57,0,0,3.41,0.57,0.57,0.57,4.54,1.14,4.54,0.57,0,1.14,1.14,0,4.54,0.57,1.14,0,0.57,0,1.7,0,0,0,4.54,0,2.84,0.57,0,0,0,0,0,0,0,0,0.57,0,1.14,0,0,0,1.7,0,0.57,0,0,0,2.27,0,1.14,0.57,0,0,0.57,0,1.14,0,0.57,0,3.41,0,2.27,0.57,0,0,0.57,0,0,0,0,0,1.14,0,1.14,0.57,0.57,0,1.14,0,1.14,0,0,0,0.57,0,0,0,0,0.57,0.57,0,0,0
10,1,2008,10,1,01/10/2008,20465,1,1,16,0,24,2,0,1,3,0,3,1,1,0,6,0,5,1,0,0,6,0,6,0,0,0,1,0,10,0,0,0,3,0,2,1,0,0,3,0,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,0,0,1,0,1,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.49,0.49,7.82,0,11.73,0.98,0,0.49,1.47,0,1.47,0.49,0.49,0,2.93,0,2.44,0.49,0,0,2.93,0,2.93,0,0,0,0.49,0,4.89,0,0,0,1.47,0,0.98,0.49,0,0,1.47,0,1.47,0,0,0,0,0,0.98,0,0,0,0,0,0.49,0,0,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95,0,1.95,0.49,0,0,0.49,0,0.49,0,0,0,0,0,0.98,0.49,0,0,1.47,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0
11,1,2008,11,1,01/11/2008,18528,1,1,8,2,19,2,1,0,0,0,1,0,0,0,0,0,8,0,0,1,5,1,7,0,0,0,3,1,3,2,2,0,0,0,2,0,2,0,7,0,6,3,0,0,0,0,1,0,1,0,0,0,2,0,1,0,6,0,0,3,0,0,1,0,3,0,0,0,1,0,0,0,0,1,3,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0.54,0.54,4.32,1.08,10.25,1.08,0.54,0,0,0,0.54,0,0,0,0,0,4.32,0,0,0.54,2.7,0.54,3.78,0,0,0,1.62,0.54,1.62,1.08,1.08,0,0,0,1.08,0,1.08,0,3.78,0,3.24,1.62,0,0,0,0,0.54,0,0.54,0,0,0,1.08,0,0.54,0,3.24,0,0,1.62,0,0,0.54,0,1.62,0,0,0,0.54,0,0,0,0,0.54,1.62,0,2.7,0,0,0,0,0,0.54,0,0,0,0,0,0.54,0,0,0.54,1.08,0,0.54,0,0,0,0.54,0,1.08,0,0,0,0,0,0,0
12,1,2008,12,1,01/12/2008,14786,1,2,10,0,22,8,0,0,1,0,1,1,0,1,2,0,4,2,0,1,5,0,7,2,1,0,2,0,10,3,1,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,1.35,6.76,0,14.88,5.41,0,0,0.68,0,0.68,0.68,0,0.68,1.35,0,2.71,1.35,0,0.68,3.38,0,4.73,1.35,0.68,0,1.35,0,6.76,2.03,0.68,0,0,0,0,0,0,0,2.71,0,3.38,0,0,0,0,0,0,0,0,0,1.35,0,1.35,0,0,0,1.35,0,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2,2009,1,1,01/01/2009,16932,1,1,7,0,14,3,0,0,2,0,0,0,1,1,1,0,5,1,0,0,1,0,5,1,0,0,3,0,4,1,0,0,4,0,3,1,0,0,2,0,7,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.59,0.59,4.13,0,8.27,1.77,0,0,1.18,0,0,0,0.59,0.59,0.59,0,2.95,0.59,0,0,0.59,0,2.95,0.59,0,0,1.77,0,2.36,0.59,0,0,2.36,0,1.77,0.59,0,0,1.18,0,4.13,0,0,0,0.59,0,0.59,0,0,0,0,0,1.18,0,0,0,0.59,0,1.77,0,0,0,0,0,0.59,0,0,0,0.59,0,0,0,0,0,1.77,0.59,0,0,0,0,0.59,0,0,0,0,0,0.59,0.59,0,0,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0
14,2,2009,2,1,01/02/2009,16932,1,3,11,0,15,6,0,0,0,0,0,0,0,1,2,0,6,5,0,1,6,0,7,0,1,1,3,0,2,1,0,0,3,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0.59,1.77,6.5,0,8.86,3.54,0,0,0,0,0,0,0,0.59,1.18,0,3.54,2.95,0,0.59,3.54,0,4.13,0,0.59,0.59,1.77,0,1.18,0.59,0,0,1.77,0,2.36,0,0,0,2.36,0,2.36,0,0,0,0,0,0,0,0,0,0,0,1.18,0,0,0,2.36,0,0,0,0,0,0,0,1.18,0,0,0,0,0,0,0,0.59,0.59,1.18,0,1.18,0.59,0,0,0,0,0,0,0,0,0,0,0.59,0.59,0,0,1.18,0,0.59,0,0.59,0.59,0,0,0,0,0,0,0,0,0.59,0
15,2,2009,3,1,01/03/2009,18518,0,6,8,0,16,3,0,2,1,0,1,0,0,4,3,0,7,1,0,0,1,0,6,0,0,0,3,0,2,2,0,0,1,0,2,1,0,2,7,0,9,0,0,0,1,0,1,0,0,0,1,0,2,0,0,2,4,0,2,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,4,0,5,1,0,1,1,0,1,0,0,0,0,0,3,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3.24,4.32,0,8.64,1.62,0,1.08,0.54,0,0.54,0,0,2.16,1.62,0,3.78,0.54,0,0,0.54,0,3.24,0,0,0,1.62,0,1.08,1.08,0,0,0.54,0,1.08,0.54,0,1.08,3.78,0,4.86,0,0,0,0.54,0,0.54,0,0,0,0.54,0,1.08,0,0,1.08,2.16,0,1.08,0,0,0,0.54,0,2.16,0,0,0,0,0,0,0,0,0.54,2.16,0,2.7,0.54,0,0.54,0.54,0,0.54,0,0,0,0,0,1.62,0,0,0,1.08,0,0.54,0.54,0,0,0.54,0,0,0,0,0,0,0,0,0
16,2,2009,4,1,01/04/2009,17599,0,6,12,0,19,3,0,1,2,0,1,0,0,2,0,0,7,2,0,2,8,0,4,0,0,1,2,0,7,1,0,0,1,0,1,0,0,0,4,0,4,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,3.41,6.82,0,10.8,1.7,0,0.57,1.14,0,0.57,0,0,1.14,0,0,3.98,1.14,0,1.14,4.55,0,2.27,0,0,0.57,1.14,0,3.98,0.57,0,0,0.57,0,0.57,0,0,0,2.27,0,2.27,0.57,0,0,0.57,0,0.57,0,0,0,0.57,0,0,0,0,0,0.57,0,1.7,0.57,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,4.55,0,2.27,0,0,0,1.7,0,0.57,0,0,0,0,0,0.57,0,0,0,2.27,0,0.57,0,0,0,0.57,0,0.57,0,0,0,0,0,0.57,0
